country_name,region,tier_numeric,composite_score,global_rank,gap_to_next_tier,improvement_opportunity
Kyrgyzstan,Europe & Central Asia,Low Tier,25.239863784301086,67,4.760136215698914,Low
Peru,Latin America & Caribbean,Low Tier,25.250039721667044,66,4.749960278332956,Low
Uruguay,Latin America & Caribbean,Low Tier,25.33017818948938,65,4.669821810510619,Low
Ecuador,Latin America & Caribbean,Low Tier,25.345636434576747,64,4.654363565423253,Low
Türkiye,Europe & Central Asia,Low Tier,25.38259804479099,63,4.6174019552090115,Low
Croatia,Europe & Central Asia,Emerging,40.39581032178799,18,4.604189678212009,Low
"Moldova, Republic of",Europe & Central Asia,Low Tier,25.443905738187663,62,4.556094261812337,Low
"Korea, Republic of",East Asia & Pacific,Low Tier,25.467218848878893,61,4.532781151121107,Low
Mexico,Latin America & Caribbean,Low Tier,25.559428779837898,60,4.440571220162102,Low
"Taiwan, Province of China",East Asia & Pacific,Low Tier,25.584742931166474,59,4.415257068833526,Low
United Kingdom,Europe & Central Asia,Low Tier,25.590529715232567,58,4.409470284767433,Low
Panama,Latin America & Caribbean,Low Tier,25.63912010986321,57,4.36087989013679,Low
Brazil,Latin America & Caribbean,Low Tier,25.641963242362586,56,4.358036757637414,Low
Kazakhstan,Europe & Central Asia,Low Tier,25.645820496939727,55,4.354179503060273,Low
United Arab Emirates,Middle East & North Africa,Low Tier,25.670167228776904,54,4.329832771223096,Low
Bhutan,South Asia,Low Tier,25.72076541406714,53,4.279234585932858,Low
Colombia,Latin America & Caribbean,Low Tier,25.925657492822644,52,4.074342507177356,Low
Argentina,Latin America & Caribbean,Low Tier,25.9306335693612,51,4.0693664306388015,Low
Chile,Latin America & Caribbean,Low Tier,26.12451963031778,50,3.8754803696822187,Low
Japan,East Asia & Pacific,Low Tier,26.30722480529232,49,3.6927751947076786,Low
Armenia,Europe & Central Asia,Low Tier,26.32976124543048,48,3.670238754569521,Low
Israel,Middle East & North Africa,Emerging,41.50350003434828,17,3.496499965651722,Low
Montenegro,Europe & Central Asia,Low Tier,26.810230985091554,47,3.189769014908446,Low
Estonia,Europe & Central Asia,Developing,56.85749699084444,6,3.1425030091555612,Low
Barbados,Latin America & Caribbean,Low Tier,26.9995901102536,46,3.0004098897464004,Low
Bosnia and Herzegovina,Europe & Central Asia,Low Tier,27.113969702390143,45,2.8860302976098566,Low
Georgia,Europe & Central Asia,Low Tier,27.433671541685648,44,2.566328458314352,Low
Greece,Europe & Central Asia,Low Tier,27.434729266597586,43,2.5652707334024143,Low
North Macedonia,Europe & Central Asia,Low Tier,27.466319570006252,42,2.5336804299937477,Low
Slovakia,Europe & Central Asia,Emerging,42.48599885832946,16,2.5140011416705406,Low
Ukraine,Europe & Central Asia,Low Tier,27.710413455639337,41,2.289586544360663,Low
Belgium,Europe & Central Asia,Developing,57.723198266141736,5,2.276801733858264,Low
Iceland,Europe & Central Asia,Emerging,42.75974996500903,15,2.2402500349909715,Low
Singapore,East Asia & Pacific,Low Tier,28.206655891421605,40,1.7933441085783954,Low
Romania,Europe & Central Asia,Low Tier,28.321428528904036,39,1.6785714710959638,Low
Ireland,Europe & Central Asia,Low Tier,28.68481405945101,38,1.3151859405489894,Low
Costa Rica,Latin America & Caribbean,Low Tier,28.891213326910243,37,1.1087866730897566,Low
Serbia,Europe & Central Asia,Low Tier,29.069348259658348,36,0.9306517403416521,Low
Australia,East Asia & Pacific,Emerging,44.68668612804282,14,0.3133138719571775,Low
Greenland,Europe & Central Asia,Advanced,74.89542373780637,2,0.10457626219363192,Low
Austria,Europe & Central Asia,Developing,59.95561842455046,4,0.0443815754495418,Low
Denmark,Europe & Central Asia,Top Tier,75,1,0,Low
